Review.Text;Sentiment;pred_10;pred_100;pred_200
Utilização fácil e amigável.;Positive;1;1;1
Sempre melhorando e oferecendo uma experiência incrível e sempre oferecendo instrumentos digitais inovadores Parabéns;Positive;1;1;1
lamentável. pior impossível.;Negative;1;1;1
Muito bom;Positive;1;1;1
Troquei de celular, e neste novo, não estou conseguindo compartilhar comprovantes de transferência. Aparece a opção compartilhar comprovante, quando seleciona, diz que não tem essa opção no App. Sempre preciso avisar o destinatário pelo Whatsapp. Muito ruim isso!;Negative;3;3;3
Muito bom;Positive;1;1;1
muito amigável fácil navegacao;Positive;1;1;1
Bom;Positive;1;1;1
Não consigo acessar programa de pontos do cartão neste último aplicativo a baixei...;Neutral;3;3;3
Muito boa!;Positive;1;1;1
Supre mto bem minhas necessidades!;Positive;1;1;1
Ótimo.;Positive;1;1;1
É uma chatice, quase sempre ter que atualizar, botar essa turma pra trabalhar e faz algo mais duradouro.;Neutral;3;3;3
Pede uma atualização diaria;Negative;3;3;3
Muito Prático;Positive;1;1;1
Muito bom;Positive;1;1;1
Muito lento na parte da tarde.;Negative;3;3;3
Aplicativo funciona muito bem. Recomendo! Substitui quase que completamente o acesso via browser, pois me recusei a obrigação de instalar um programa ruim para habilitar a segurança do browser em minha máquina (Linux e Mac tb não estão livres dessa praga chamada módulo de segurança). O único problema que vejo aqui é ser obrigado a ir no caixa eletrônico para liberar o itoken, destravando as operações de transferência. B4 Bank, estamos em 2019, quase 2020.;Positive;3;3;3
não consigo pagar GPS imposto essencial;Neutral;1;1;1
Não gostei de validar. O itoken no caixa eletrônico;Negative;1;1;1
PÉSSIMO APP;Negative;3;1;3
Meio lento para carregar;Positive;3;3;3
Uso este APP desde qdo o B4 Bank, desativou o APP B4 BankCARD, para variar sem qq aviso. A função útil é a geração do cartão virtual. A reclamação é depois de validar o login, pede o TOKEN, e não avança porque erradamente diz que o Etoken, q eu nunca usei, eu uso o VASCO, estaria instalado em outro celular. Este absurdo ocorre porque ele acessa uma tabela q compara o IP que eu usei para baixar o APP do Play Store com o que eu estou usando no momento q gerar o cartão virtual. Houve vezes em q gerei o cartão no wi-fi de casa para pegar um UBER, mas para voltar, de outro IP, o APP queria me enviar para uma ATM revalidar o Etoken com QR code, Etoken q não quero usar por questão de segurança.;Negative;3;3;3
Não consigo gerar cartão virtual quando gera não aparecem todos os números do cod de segurança. Uma droga;Negative;3;3;1
As vezes demora muito pra abrir e antes eu podia usar minha digital e de repente só com a senha. Não troquei de celular, nada.;Positive;3;3;3
Excelente, obrigada!;Positive;1;1;1
Estou começando a utilizar para mais coisas bem prático;Positive;1;1;1
Excelente;Positive;1;1;1
Muito boa;Positive;1;1;1
pessima. toda semana tenho de atualizar . 42 MB!;Positive;3;3;3
Muito prático;Positive;1;1;1
O App é bom, só não estou conseguindo atualizar para a nova versão. Não aparece a opção de atualização. Só desinstalar ou abrir.;Positive;3;3;3
Não cai;Positive;1;1;1
Ótima;Positive;1;1;1
Muito prático, e intuitivo.;Positive;1;1;1
Pratico e eficiente;Positive;1;1;1
B4 Bank sempre presente em minhas decisões!!!!;Positive;1;1;1
Quase um caixa eletrônico móvel. Melhoraram muito.;Positive;1;1;1
O app está muito lento para iniciar no Android 8.0.0;Neutral;3;3;3
Bastante fácil de operar;Positive;1;1;1
Very good;Positive;1;1;1
Muito Bom;Positive;1;1;1
Excelente;Positive;1;1;1
Uma das dificuldades que sinto é não consigo pagar darfs (impostos) pelo aplicativo.;Positive;1;1;1
Muito bom. Fácil e ágil.;Positive;1;1;1
Execuçao rapida da teansaçao.;Positive;1;1;1
ainda relativamente Boa. o depósito de cheques via aplicativo não funciona.;Positive;1;1;1
tudo bem ate agora!;Positive;1;1;1
Instável com token, esta cada vez pior! instavel, demorado e a versao do site um desastre, extratos que nao funcionam, instabilidade. Como se nao bastasse o atendimento pessoal tem seguido a mesma linha e, a qualidade caiu bastante. Cliente do banco ha mais de 20 anos penso seriamente e trocar de instituição.;Negative;3;3;3
Ótimo! Eficiente!;Positive;1;1;1
perfect;Positive;1;1;1
otimo aplicativo tudo q preciso estar a disposição;Positive;1;1;1
amazing app;Positive;1;1;1
pena que ao sair para outra pagina o app feche...devia fechar por tempo...;Positive;1;1;1
Muito lento. Sujeito a flutuações inaceitáveis na qualidade do serviço. Mensagens de erro pouco claras. Em resumo, qualidade incompatível com o que se espera do banco. Abre (mais uma) brecha para a concorrência das fintechs.;Negative;3;3;3
mto bom;Positive;1;1;1
Muito boa;Positive;1;1;1
mais prático e muito essencial....;Positive;1;1;1
App está show!;Positive;1;1;1
Funciona perfeitamente!;Positive;1;1;1
Solucionado o problema, voltou funcionar corretamente. A validação do itok ficou muito mais seguro.. Continuem aprimorando o APP.;Positive;3;1;1
A parte de pagamento é péssima! Vc não consegue pagar boletos no cartão de crédito no app... já entrei em contato com a central de TI, mas não fizeram nada a respeito...;Negative;3;3;3
It has improved, it became less spotty and more user friendly.;Positive;1;1;1
bom;Positive;1;1;1
otima;Positive;1;1;1
muito prático;Positive;1;1;1
an amazing experience;Positive;1;1;1
app otimo;Positive;1;1;1
muito boa;Positive;1;1;1
Excelente;Positive;1;1;1
Ótimo. fácil de usar.;Positive;1;1;1
bom, gostei;Positive;1;1;1
Muito interessante essa nova versão no entanto ainda falta um recurso como o cadastramento do token como o banco Inte, sem necessidade de se deslocar até uma agência para realizar o procedimento.;Positive;1;1;1
Excelente;Positive;1;1;1
Ótimo;Positive;1;1;1
Muito bom, facilita muito na movimentação de minha CC.;Positive;1;1;1
Só dá erro inesperado e ngm nem na agência consegue saber o que está ocorrendo.;Negative;3;1;1
Tudo funciona muito bem, só preciso ir na agência para depósito ou saque!!;Positive;1;1;1
ótima.;Positive;1;1;1
bem facil e rápido;Positive;1;1;1
Muito bom o App. Adorei, facilita bastante a vida do correntista.;Positive;1;1;1
muito fácil de usar;Positive;1;1;1
funcao depositar cheque é pessima. nao le o cheque. tem q tirar fotos varias vezes. meu itoken ja parou de ser reconhecido 3x..;Negative;1;3;3
o aplicativo esta ótimo;Positive;1;1;1
essa ultima atualização deixou ele lento;Negative;3;3;3
atendimento de excelência;Positive;1;1;1
O bco B4 Bank é ótimo. Me dá muita tranquilidade.Muito satisfeito...;Positive;2;1;1
Muito boa.;Positive;1;1;1
Aplicativo excelente!;Positive;1;1;1
muito bom;Positive;1;1;1
muito boa;Positive;1;1;1
Adoro, tudo é rápido!;Positive;1;1;1
app está muito lento ultimamente e do nada descadastra meu acesso com biometria;Neutral;3;3;3
bom aplicativo resolvo tudo nele;Positive;1;1;1
Show de bola;Positive;1;1;1
Muito intuitivo, e com soluções práticas para operações do dia a dia;Positive;1;1;1
mto funcional;Positive;1;1;1
contente.;Positive;1;1;1
Aplicativo bem feito.;Positive;1;1;1
Excelente, rápido e prático!!!! obs: Deveria ter a opção de desbloqueio de talão de cheques.;Positive;1;1;1
facil e rapido;Positive;1;1;1
Muito útil e versátil, aprovado!!!;Positive;1;1;1
muito boa;Positive;1;1;1
Nessa última atualização o app está reiniciando frequentemente. Aparece uma mensagem de que o tempo expirou.;Positive;3;3;3
tem atendido minhas expectativas;Positive;1;1;1
Não é possivel ver o valor do juros do cheque especial a ser descontado.;Positive;1;1;1
Otima experiencia do usuario, poucos bugs.;Positive;1;1;1
Lento quando faz o login e durante as transações, como pagamento de conta e transferência. Poderiam investir mais no UX do app do ponto de vista operacjonal. Tem muitas funcionalidades, mas falta organização, aproveitamento da tela (tipo espaço das linhas no extrato) e visual prático.;Negative;3;1;3
problemas diários me impedem de fazer o que eu preciso. tive que ir 5 vezes na agência para restaurar o token.;Negative;1;1;1
Parte de investimentos continua bem fraca, muito difícil de entender os investimentos. Poderia ser algo mais parecido com a XP investimento!;Positive;3;3;3
muito lento;Negative;3;3;3
boa;Positive;1;1;1
ótimo;Positive;1;1;1
Muito bom!!!!;Positive;1;1;1
cada vez melhor;Positive;1;1;1
muito prático e fácil de usar;Positive;1;1;1
Muito útil facilita muito minha vida com as contas...;Positive;1;1;1
Parabéns pelo App, sabemos que podemos sempre melhorar a dinâmica do App mas meus parabéns;Positive;1;1;1
Muito lento;Negative;3;3;3
ultimamente esta impossivel utilizar, ou esta lento ou trava logo no inicio da utilização.;Negative;3;3;3
bom , mas lento;Positive;3;3;3
exelente;Positive;1;1;1
o extrato não funcionava quando instalei o App da primeira vez. ao reinstalar, está funcionando bem.  O pagamento de faturas de cartão de crédito é que precisa melhorar pois, após selecionar um cartão e ir para o pagamento da fatura, ele pede que se escolha novamente um dos cartões . retrabalho e persa de tempo.;Positive;3;3;3
Excelente!;Positive;1;1;1
miito bom;Positive;1;1;1
top;Positive;1;1;1
itoken qr code nao lê o codigo gerado no bankline (app inyernet);Positive;3;1;1
muito bom facilitar muito sua vida não sei mais o que e i em banca muito bom e seguro nunca tive problema;Positive;1;1;1
excelente app;Positive;1;1;1
Fácil, simples.;Positive;1;1;1
Muito satisfeito.;Positive;1;1;1
muito bom;Positive;1;1;1
tive de mudar de celular e autorizar novamente o itoken. para isso preciso acessar o caixa com o cartão de débito. neste momento descobri que o cartão de débito não funciona mais pois utilizo apenas o cartão de crédito. para solicitar um novo cartão leva até dez dias úteis. durante este período não consigo utilizar minha conta. triste... :(;Negative;3;3;3
Excelente, tem todas as funcionalidades necessárias. descomplicado e muito prático.;Positive;1;1;1
Entrar no site do B4 Bank está sendo fácil e na hora das transações tb.;Positive;1;1;1
Perfeito,rápido e inteligente, mto preciso e fácil. Mto grata!;Positive;1;1;1
horrivel para deposito de cheques!!!!;Negative;1;1;1
a captura de cheques e muito ruim, tem que tirar varias fotos para conseguir ler o codigo de barra, e agora fic aparecendo a mensagem que nao consegue ler a borda do cheque. que piada sempre fica travando conseguiram piorar nesta atualização;Negative;3;3;3
Trava com bastante frequência, quando funciona é bom, poderia travar menos as vezes vc nem consegue fazer uma ação e diz que sua sessão expirou, está complicado usar o app;Neutral;3;3;3
Gostei muito.... Alice;Positive;1;1;1
muito bom;Positive;1;1;1
muito pratico e facil de usar;Positive;1;1;1
deposito de cheque pelo App é irritante, uma hora diz que os cantos dos cheques nao estao visíveis, outra hora uns erros ridiculos, voce tira 10x a foto do cheque e nada! funciona a hora que quer! nao recomendo para depósito de cheques! olha q meu aparelho possui uma excelente camera e só tiro fotos em ambientes claros e com o fundo sugerido pelo aplicativo , fundo na cor preta!;Negative;1;3;3
acho facil e rapido.;Positive;1;1;1
Tudo muito tranquilo;Positive;1;1;1
acho que o app deveria ter uma senha para abrir o aplicativo. seria mais um nível de segurança;Neutral;3;3;3
pratico e intuitivo;Positive;1;1;1
Já foi bem melhor;Neutral;1;1;1
App não permite visualização/ substituição de cartão. Sempre que ha tentativa de visualizar a fatura o App apresenta erro.;Positive;3;1;1
muito bom, fácil de usar!;Positive;1;1;1
Não f;Negative;1;1;1
maravilhoso;Positive;1;1;1
muito ruim;Negative;3;3;3
Era ótimo porém de um tempo para cá a função de pagar boleto com código de barra que era espetacular parou de capturar os boletos e fica travada, não sai mesmo se mudar para manual tendo que encerrar o aplicativo. Por favor corrijam esse problema e voltem a ser 5 estrelas.;Negative;3;3;3
simples e rápido muito fácil de usar recomendo o App no celular ao invés do PC dá de 10;Positive;1;1;1
Ficaria melhor se aceitasse validação digital.;Positive;1;3;3
muito bom;Positive;1;1;1
Intuitivo;Positive;1;1;1
Bom;Positive;1;1;1
muito bom;Positive;1;1;1
Muito bom, funcional, é melhor que de outros bancos;Positive;1;1;1
Na última atualização ficou instável. Boa navegação;Neutral;3;3;3
O aplicativo contém erros grosseiros e informações incorretas que nao conseguem resolver. Já avisei meu gerente mas não conseguimos nada;Negative;3;1;3
Muito bom este app;Positive;1;1;1
excelente;Positive;1;1;1
"Mesmo com internet de qualidade e com ótimo sinal demora muito pra carregar. Recomendo quebrar os pacotes, carregando na tela inicial apenas o que é exibido ao abrir o app. Precisando só chamar -;)";Positive;1;1;1
incrível;Positive;1;1;1
Seguranças;Positive;1;1;1
Prático, fácil e rápido! Muito bom!;Positive;1;1;1
Banking. Algumas vezes fica lento sem causa no smartphone e Internet do usuário. Algumas operações são dependentes do processador, que não deve estar no modo de economia de energia. Deve ser informado como necessário.;Positive;1;3;3
Eu gosto muito...economiza tempo e funciona muito bem.;Positive;1;1;1
Muito bom.;Positive;1;1;1
O sistema no site pelo celular sempre cai, por essa motivo a minha senha eletrônica está com problemas Consertem a sua plataforma assim não oscilar mais Como também, ao iniciar a navegação, já comunicaria site fora do ar Agora é necessariamente a opção será em avaliar se o sistema operacional trabalhe sem instabilidade em futuro próximo;Neutral;3;3;3
pratico e facil;Positive;1;1;1
prático.;Positive;1;1;1
O App após a atualização está péssimo! Sempre que acesso a área CARTÃO ele trava, apaga e não conclui. HORRÍVEL;Negative;3;3;3
muito bom, adorei, demorou mas aprendi.;Positive;1;1;1
ok;Positive;1;1;1
Muito lento;Negative;3;3;3
Boa;Positive;1;1;1
Login muito demorado e inúmeras instabilidades...;Negative;3;1;1
Falta pouco para ser 5 estrelas,;Positive;1;1;1
App bom porém está muito instável;Neutral;3;1;1
Top muito bom;Positive;1;1;1
Estou aprendendo;Positive;1;1;1
boa e calma;Positive;1;1;1
A opção de Comprovante, deveria ser em .pdf No mais, o App é muito bom, útil e disponível a qualquer momento, com praticamente todas as opções da opção do PC.;Positive;3;1;1
Tudo OK.;Positive;1;1;1
Desde a última atualização o app está muito lento.;Neutral;3;3;3
Otima;Positive;1;1;1
Algumas vezes o aplicativo demora pra abrir e outras não abre, mesmo, eu tendi sinal de Internet;Negative;3;3;3
Fraco oerante outros bancos. Tentei pagar minha fatura de cartão, simplesmente só permite adetir ao débito automático, que impacta a próxima farura. Tem muito a melhorar.;Negative;1;1;1
Pratico;Positive;1;1;1
Deveria considerar na gestão e classificação das despesas, as entradas do cartão de crédito. Algumas telas de segundo e terceiro nível ainda são webiew bem mediazinha..;Neutral;1;1;3
O app trava e pede para reiniciar quando abro o extrado do cartão de crédito.;Neutral;3;3;3
Muitos problemas atualmente;Negative;1;3;3
O acesso pela digital sumiu;Positive;1;3;3
Ótimo.;Positive;1;1;1
A quinta estrela so qdo tiver todas as funções do site;Positive;1;1;1
Ótimo;Positive;1;1;1
terrível nunca funciona e toda vez que atualiza perco o iToken;Negative;3;3;1
Faltam recursos para que evite nossa ida as agências. Obrigar o cliente a ir na agência nos dias de hoje é um absurdo...;Negative;1;1;1
ótima, prática;Positive;1;1;1
Muito bom;Positive;1;1;1
Atualiza de meia em meia hora, horrível este app.;Negative;3;3;3
Boa;Positive;1;1;1
Muito bom;Positive;1;1;1
Não gosto toda vez que faço um pagamento e vou compartilhar tenho que abrir tudo novamente. Gasto muito tempo;Neutral;1;1;1
Com problemas para usar o leitor de código de barras e mesmo digitar o código na parte de pagamento após a última atualização. Difícil assim.;Positive;3;3;3
Muito bom! Melhor banco que existe !;Positive;1;1;1
bom;Positive;1;1;1
Muito prático!;Positive;1;1;1
Ruim, aguardando dowload e nao atualiza. Enquanto isso nao consigo acessar o app. Muito ruim.;Negative;3;3;3
Não sei;Positive;1;1;1
pessimo;Negative;1;1;1
Legal;Positive;1;1;1
Bom;Positive;1;1;1
Ótimo;Positive;1;1;1
Toda hora dá problema no login utilizando a digital e ele desabilita dentro do aplicativo tendo que habilitar de novo. Na hora de fazer login ele fica parada quando a internet está lenta, parecendo que deu algum problema, e algumas partes dentro do aplicativo claramente te jogam para uma página Web, mostrando que ainda não foi feito uma portabilidade para o serviço ser algo nativo dentro do aplicativo, muitas melhorias poderiam ser feitas para deixar o aplicativo com uma cara mais profissional;Neutral;3;3;3
Toda semana ele perde o iToken. Então sou obrigado a ir no cx eletrônico recadastrar  Há conflito entre o iToken PJ e o PF. Toda vez que o Android faz atualização o iToken perde o sincronismo. Aí você tem que desinstalar , reinstalar e no caso do PF tem de se deslocar até um cx eletrônico. É muito ruim ;Negative;3;3;3
Falta permitir pagar GPS no cel;Positive;1;1;1
Muito bom;Positive;1;1;1
O comprovante de pagamento é péssimo. Precisa de edição para imprimir em uma folha A4.;Neutral;3;3;3
Otima;Positive;1;1;1
enche o saco fazer estas alterações, é muito complicado , vou voltar a pedir meus extratos na agência. ,Péssimo serviço . Detesto.;Negative;3;3;3
trava muito;Negative;3;3;3
O app do B4 Bank melhorou bastante nos últimos meses.;Positive;1;1;1
Cada vez mais útil!;Positive;1;1;1
Ótimo;Positive;1;1;1
Ótimas;Positive;1;1;1
Que atualizacao foi essa? Pede pra trocar a senha e nao aceita a senha do cartao. App B4 Bank Pessoa Física era muito bom, ultimas atualizacoes so causaram confusoes com senha e hoje, após atualizar e tentar cadastrar 3 senhas diferentes, ele nao aceita nenhuma! Impossivel utiliza lo!;Negative;3;3;3
Muito bom.;Positive;1;1;1
Muito bom app. Faltam alguns recursos no sistema de pontos do cartão. Espero que o B4 Bank pense em melhorar nesse ponto. Só falta isso para ganhar 5 estrelas. Ponto forte: pagamento de conta.;Positive;1;1;1
Muito eficiente!!;Positive;1;1;1
Applicativo nunca falou em muitos anos de uso!;Positive;1;3;1
Uso muito e gosto, so estou com problemas que não consigo usar minha digital;Positive;1;1;3
Fácil de usar e entender. Gostei;Positive;1;1;1
Facilidade;Positive;1;1;1
boa 400;Positive;1;1;1
Muito boa e prática;Positive;1;1;1
Muito bom rapido e facil o aplicativo.;Positive;1;1;1
Não consigo pagar uma conta depois que atualizei. PIOROU !!;Negative;3;3;3
Bom ...nao me causa problemas;Positive;1;1;1
Otimo;Positive;1;1;1
ok;Positive;1;1;1
Boa;Positive;1;1;1
Excelente e prático!;Positive;1;1;1
Constantemente tem apresentado falhas.;Neutral;1;1;1
O melhor;Positive;1;1;1
Fácil de usar.;Positive;1;1;1
muito boa. Ruim que trava quando tem que atualizar.;Positive;3;3;3
é muito importante;Positive;1;1;1
muito bom e eficiente facilitando assim nossa vida;Positive;1;1;1
Muito prático;Positive;1;1;1
Anteriormente a mudança de tela pra digitar a senha era direto e melhor.;Neutral;3;3;3
Acho ótimo esse APP. É intuitivo, funciona sempre, simples e rápido. Gosto tbm da opção de chat com o gerente, já usei várias vezes.;Positive;1;1;1
Ótimo.;Positive;1;1;1
Rápida e boa;Positive;1;1;1
simples de usar e muito prático, faço tudo pelo aplicativo...;Positive;1;1;1
Bem agradável;Positive;1;1;1
otimo;Positive;1;1;1
Pratica;Positive;1;1;1
Regular;Positive;1;1;1
Não consigo atualizar, sem atualização não acesso! Triste isso!;Negative;3;3;3
App funcional, intuitivo, simples e objetivo! Não largo por nada!;Positive;1;1;1
Atualização não acontece;Negative;3;3;3
Teclado dda precisa melhorar.;Positive;3;1;1
Vocês estão de parabéns....;Positive;1;1;1
Excelente app parabéns.;Positive;1;1;1
Ótimo aplicativo. Faço tudo pelo celular;Positive;1;1;1
Ótimo app;Positive;1;1;1
Otimi;Positive;1;1;1
Era mais fácil antes, piorou um pouco, mas com um tempo vc aprende a interface.;Positive;2;1;1
Excelente aplicativo!!!!;Positive;1;1;1
Sempre nota 10;Positive;1;1;1
Gostei muito prático, descomplicado;Positive;1;1;1
