"kwic.text...tolower.positive_review...1....keyword...positive_most_used.j...";"word"
"é muito bom e simples";"bom"
"! muito bom ! passei";"bom"
"sempre evoluindo. bom demais. pena";"bom"
"acho muito bom e descomplicado";"bom"
"e usabilidade. bom desing e";"bom"
"ótimo, muito bom resolver pagamentos";"bom"
"e muito bom e rápido";"bom"
"acho muito bom o aplicativo";"bom"
"foi muito bom usar, com";"bom"
"top, muito bom e rápido.";"bom"
"achei muito bom poder ter";"bom"
"banca muito bom e seguro";"bom"
"é muito bom muito importante.";"bom"
"aplicativo muito bom facil e";"bom"
"app muito bom e útil.";"bom"
"eu acho bom resolvo tudo";"bom"
"é muito bom e prático";"bom"
"mewmo com bom sinal, mas";"bom"
"porque o app não permite";"app"
"entrar no app do meu";"app"
"o melhor app do mundo";"app"
"mim este app dar ietu";"app"
"atualização o app ficou muito";"app"
"problema no app que tive";"app"
"cheque pelo app comovem outros";"app"
"praticidade do app do b4";"app"
"muito desse app é 10";"app"
"funcionalidade do app justamente na";"app"
"operações que app de outros";"app"
"um bom app facilita muito";"app"
"fazer pelo app eu consegui";"app"
"vezes o app não funciona.";"app"
"como no app no computador.";"app"
"coloquem no app as informações";"app"
"se o app tivesse as";"app"
"conta no app com a";"app"
"dia, no app b4 bank";"app"
"chave. o app nos proporciona";"app"
"o melhor app e o";"app"
"valores, pelo app para contas";"app"
"com o app b4 bank,";"app"
"o melhor app de bancos.";"app"
"depósito. o app fecha sozinho.";"app"
"pago no app , meu";"app"
"crédito via app do cel.";"app"
"dígitos. no app b4 bankcard";"app"
"celular. o app é importante";"app"
"bom este app totalmente funcional";"app"
"sair do app precisa estar";"app"
"tem no app pra pc.";"app"
"que o app poderia ter";"app"
"bem, o app é funcional";"app"
"e meu app não fechou";"app"
"bom gosto app para pagar";"app"
"com esse app e esse";"app"
"dia. o app do santander";"app"
"favorecida pelo app b4 bank.";"app"
"tirei o app é agora";"app"
"gosto do app e principalmente";"app"
"que o app para imprimir";"app"
"aqui mas app aparentemente tem";"app"
"entre o app no computador";"app"
"avaliação, o app esperou educadamente";"app"
"ser um app de banco";"app"
"resto, o app cumpre com";"app"
"reinstalar o app para fazer";"app"
"usar o app b4 bank";"app"
",pois o app anterior exigiu";"app"
"of the app are slow";"app"
"uso do app é prático";"app"
"mas o app está cada";"app"
"de o app dar um";"app"
"o melhor app de banco";"app"
"pagina o app feche...devia fechar";"app"
"o do app do computador";"app"
"com o app do bb";"app"
"tanto o app para android";"app"
"atualização o app está reiniciando";"app"
"tudo pelo app b4 bank,";"app"
"o melhor app entre todos";"app"
"dinâmica do app mas meus";"app"
"gosto do app mas será";"app"
"instalei o app da primeira";"app"
"e meu app simplesmente fecha";"app"
"fatura o app apresenta erro.";"app"
"recomendo o app no celular";"app"
"problema no app que nao";"app"
"sai do app e fala";"app"
"item. o app do bb";"app"
"muito bom app e banco";"app"
"crédito o app reinicia, volta";"app"
"independente entre app do banco";"app"
"mais, o app é muito";"app"
"entrar no app com a";"app"
"biometria como app de outras";"app"
"atualização o app voltou a";"app"
"o melhor app de banco";"app"
"desinstalar nenhum app para atualizar";"app"
"token. o app é muito";"app"
"ótimo o app b4 bank";"app"
"tamanho do app aumenta e";"app"
"exelente aplicativo. prático e rápido";"prático"
"fácil e prático para usar.";"prático"
"fácil e prático de usar";"prático"
"bom e prático este app!";"prático"
"é fácil, prático e completo.";"prático"
"ótimo app, prático demais para";"prático"
"simples e prático de usar";"prático"
"tudo muito prático e rápido";"prático"
"sempre. muito prático e eficiente.";"prático"
"app mais prático e facilitado";"prático"
"é bem prático e muito";"prático"
"experiência. tudo prático e fácil.";"prático"
"tornar mais prático o aplicativo.";"prático"
"muito bom, prático e fácil";"prático"
"ótimo app prático e faz";"prático"
"fácil acesso, prático e rápido.";"prático"
"app é prático e rápido";"prático"
"aplicativo super prático e fácil";"prático"
"é bem prático e fácil";"prático"
"o aplicativo, prático e objetivo.";"prático"
"fácil acesso, prático e eficaz!";"prático"
"sensacional.... fácil, prático e moderno";"prático"
"maravilhoso muito prático e ágil";"prático"
"app fácil, prático e confiável.";"prático"
"ótimo , prático e fácil";"prático"
"simples e fácil de usar";"fácil"
"prático e fácil de usar";"fácil"
"e de fácil navegação, gosto";"fácil"
"muito bom, fácil de movimentar";"fácil"
"layout e fácil de manusear.";"fácil"
"prático e fácil de usar.";"fácil"
"claro. muito fácil de utilizar.";"fácil"
"prático e fácil de usar,";"fácil"
"é muito fácil de operar.";"fácil"
"e simples fácil de usar.";"fácil"
"e de fácil operação. grato.";"fácil"
"mais comuns. fácil de usar";"fácil"
"simples e fácil de usar,";"fácil"
"b4 bank, fácil e ágil";"fácil"
"dia , fácil e dinâmico";"fácil"
"recomendo, muito fácil de usá.";"fácil"
"prático, relativamente fácil e eficiente.";"fácil"
"bem amigável, fácil de navegar";"fácil"
"ficar mais fácil de pesquisar";"fácil"
"e muito fácil de usar.";"fácil"
"intuitivo e fácil de usar.";"fácil"
"prático e fácil de usar!!!";"fácil"
"forma mais fácil para encontrar";"fácil"
"muito bom, fácil de usar,";"fácil"
"prático e fácil de utilizar.";"fácil"
"app muito fácil de navegar";"fácil"
"bom aplicativo, fácil de usar";"fácil"
"muito útil, fácil manuseio e";"fácil"
"rápido e fácil de usar";"fácil"
"eficiente e fácil de navegar!";"fácil"
"prático e fácil de utilizar";"fácil"
"e, portanto, fácil de usar.";"fácil"
"ágil. aplicativo fácil de operar";"fácil"
"aplicativo de fácil utilização e";"fácil"
"prático e fácil de usar";"fácil"
"prático e fácil de usar.";"fácil"
"não trava. fácil e simples.";"fácil"
"prático e fácil de usar";"fácil"
"eficaz de fácil compreensão e";"fácil"
"muito bom. fácil e ágil.";"fácil"
"bom e fácil de trabalhar.";"fácil"
"acho prático, fácil de usar";"fácil"
"ter mais fácil de aceesar";"fácil"
"app super fácil de usar,";"fácil"
"visualmente bonito, fácil navegação, seguro";"fácil"
"útil e fácil de usar.";"fácil"
"excelente aplicativo. fácil de manipular";"fácil"
"muito amigável fácil e rápido";"fácil"
"ágil e fácil de usar.seguro!!!";"fácil"
"prático e fácil de utilizar";"fácil"
"e intuitivo. fácil de usar.";"fácil"
"prático e fácil de usar";"fácil"
"prático e fácil de usar";"fácil"
"excelente. aplicativo fácil de usar.";"fácil"
"muito mais fácil e ágil.";"fácil"
"prático e fácil de usar";"fácil"
"aplicativo, tudo fácil de mexer";"fácil"
"sistema de fácil acesso, prático";"fácil"
"bom. super fácil de usar";"fácil"
"está sendo fácil e na";"fácil"
"muito bom, fácil de usar!";"fácil"
"excelente e fácil de usar";"fácil"
"rápido muito fácil de usar";"fácil"
"bom, prático, fácil de usar";"fácil"
"intuitivo e fácil de usar.";"fácil"
"aplicativo dinâmico, fácil e intuitivo.";"fácil"
"e de fácil uso mas";"fácil"
"utilizei. intuitivo, fácil de usar";"fácil"
"acessibilidade, é fácil de entendimento";"fácil"
"muito bom. fácil de usar";"fácil"
"muito prático. fácil de usar.";"fácil"
"é excelente, fácil e prático.";"fácil"
"prático e fácil de usar";"fácil"
"prático e fácil de usar.";"fácil"
"e de fácil acesso... parabéns";"fácil"
"era mais fácil antes, piorou";"fácil"
"no celular. excelente pra pagamento";"excelente"
"é um excelente app, e";"excelente"
"é um excelente banco para";"excelente"
"até aqui excelente para minha";"excelente"
"é um excelente custo benefício.";"excelente"
"é um excelente aplicativo, tudo";"excelente"
"é uma excelente ferramenta para";"excelente"
"acho o aplicativo muito bom,";"aplicativo"
"adorei este aplicativo me salva";"aplicativo"
"muito prático aplicativo e funcionários";"aplicativo"
"q o aplicativo deveria fazer";"aplicativo"
"o melhor aplicativo de bancos";"aplicativo"
"recursos do aplicativo mas -";"aplicativo"
"como um aplicativo pode e";"aplicativo"
"usar o aplicativo b4 bank";"aplicativo"
"colocar no aplicativo o cadastro";"aplicativo"
"forma, o aplicativo está trabalhando";"aplicativo"
"bom este aplicativo economiza tempo";"aplicativo"
"que o aplicativo nos oferece";"aplicativo"
"e o aplicativo voltou a";"aplicativo"
"serviço ágil. aplicativo fácil de";"aplicativo"
"acesso o aplicativo pede para";"aplicativo"
"bom o aplicativo exibir o";"aplicativo"
"usar o aplicativo do b4";"aplicativo"
"telefone, o aplicativo reconhece o";"aplicativo"
"cheques via aplicativo não funciona.";"aplicativo"
"que o aplicativo do computador";"aplicativo"
"aprimorando o aplicativo com vários";"aplicativo"
"o melhor aplicativo de banco";"aplicativo"
"e o aplicativo está funcionando";"aplicativo"
"tudo pelo aplicativo ! só";"aplicativo"
"entro no aplicativo para fazer";"aplicativo"
"agilização do aplicativo é excelente.";"aplicativo"
"acho o aplicativo ótimo, como";"aplicativo"
"o melhor aplicativo de banco!";"aplicativo"
"cá o aplicativo fica fechando";"aplicativo"
"um ótimo aplicativo para o";"aplicativo"
"tudo pelo aplicativo muito bom";"aplicativo"
"sai do aplicativo aí vc";"aplicativo"
"home, o aplicativo fecha sem";"aplicativo"
"com o aplicativo ainda...so no";"aplicativo"
"incrivel o aplicativo b4 bank";"aplicativo"
"olerite pelo aplicativo , porque";"aplicativo"
"com o aplicativo e agora";"aplicativo"
"e intuitivo. ótimo app. parabéns!";"ótimo"
"100% digital. ótimo serviço, tenho";"ótimo"
"e com ótimo sinal demora";"ótimo"
"é um ótimo aplicativo para";"ótimo"
"melhor seria ótimo se desse";"ótimo"
"aparentemente tem boa interface e";"boa"
"tem uma boa acessibilidade, é";"boa"
"de consultas. rápido e eficiente.";"rápido"
"fácil e rápido de usar";"rápido"
"tranquilo e rápido a execução";"rápido"
"prático e rápido de se";"rápido"
"fácil e rápido de navegar";"rápido"
"gostei é rápido e fácil.";"rápido"
"fácil e rápido amei e";"rápido"
"fácil, prático, rápido e intuitivo!";"rápido"
"muito bom, rápido e prático,";"rápido"
"excelente, super rápido e prático.";"rápido"
"simples e rápido muito fácil";"rápido"
"excelente. muito rápido e eficiente.";"rápido"
"bom e rápido gostei de";"rápido"
"móvel. amigável, rápido e confiável.";"rápido"
"fácil de usar e intuitivo.";"usar"
"prático de usar por isso";"usar"
"método de usar senha. a";"usar"
"muito de usar o aplicativo";"usar"
"passei a usar o b4";"usar"
"facil de usar e tem";"usar"
"fácil de usar e, por";"usar"
"simples de usar e eficiente.";"usar"
"fácil de usar e intuitivo.";"usar"
"acho ótimo usar o aplicativo";"usar"
"muito de usar o app,";"usar"
"eu podia usar minha digital";"usar"
"muito tranquilo usar o app";"usar"
"voltar a usar havia a";"usar"
"fácil de usar e esta";"usar"
"imagino sem usar esse serviço.";"usar"
"fácil de usar e muito";"usar"
"fácil de usar recomendo o";"usar"
"problemas para usar o leitor";"usar"
"não consigo usar minha digital";"usar"
"fácil de usar e entender.";"usar"
"fácil de usar e faz";"usar"
"fácil de usar e cada";"usar"
"simples de usar e muito";"usar"
"e nem usar sem atualizar,";"usar"
